,batter,bowler,non_striker,runs_by_bat,extra_runs,total_runs_delivery,current_team_total,runs_remain,batter_runs,balls_faced,wickets_fallen,extra_type,delivery,wicket_type,player_out,fielder,over,toss_decision,toss_winner,innings,venue,year,month,match_id,winning_team,batting_team,bowling_team,won,final_team_total,batter_type,non_striker_type,bowler_type
10,Murshida Khatun,P Vastrakar,S Mostary,1,0,1,11,134,6,7,1,-,5.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium
11,S Mostary,P Vastrakar,Murshida Khatun,4,0,4,15,130,5,2,1,-,6.0,0,,,1,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
12,Murshida Khatun,Renuka Singh,S Mostary,0,0,0,15,130,6,8,1,-,1.0,0,,,2,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium
13,Murshida Khatun,Renuka Singh,S Mostary,2,0,2,17,128,8,9,1,-,2.0,0,,,2,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium
14,Murshida Khatun,Renuka Singh,S Mostary,0,0,0,17,128,8,10,1,-,3.0,0,,,2,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium
15,Murshida Khatun,Renuka Singh,S Mostary,1,0,1,18,127,9,11,1,-,4.0,0,,,2,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium
16,S Mostary,Renuka Singh,Murshida Khatun,0,0,0,18,127,5,3,1,-,5.0,0,,,2,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
17,S Mostary,Renuka Singh,Murshida Khatun,0,0,0,18,127,5,4,1,-,6.0,0,,,2,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
18,Murshida Khatun,SR Patil,S Mostary,1,0,1,19,126,10,12,1,-,1.0,0,,,3,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Offbreak
19,S Mostary,SR Patil,Murshida Khatun,0,0,0,19,126,5,5,1,-,2.0,0,,,3,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Offbreak
20,S Mostary,SR Patil,Murshida Khatun,0,0,0,19,126,5,6,1,-,3.0,0,,,3,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Offbreak
21,S Mostary,SR Patil,Murshida Khatun,1,0,1,20,125,6,7,1,-,4.0,0,,,3,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Offbreak
22,Murshida Khatun,SR Patil,S Mostary,0,0,0,20,125,10,13,1,-,5.0,0,,,3,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Offbreak
23,Murshida Khatun,SR Patil,S Mostary,2,0,2,22,123,12,14,1,-,6.0,0,,,3,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Offbreak
24,S Mostary,Renuka Singh,Murshida Khatun,0,1,1,23,122,6,7,1,wides,0.0,0,,,4,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
25,S Mostary,Renuka Singh,Murshida Khatun,0,0,0,23,122,6,8,2,-,1.0,bowled,S Mostary,,4,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
26,Nigar Sultana,Renuka Singh,Murshida Khatun,0,0,0,23,122,0,1,2,-,2.0,0,,,4,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
27,Nigar Sultana,Renuka Singh,Murshida Khatun,1,0,1,24,121,1,2,2,-,3.0,0,,,4,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
28,Murshida Khatun,Renuka Singh,Nigar Sultana,1,0,1,25,120,13,15,2,-,4.0,0,,,4,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Medium
29,Nigar Sultana,Renuka Singh,Murshida Khatun,0,0,0,25,120,1,3,2,-,5.0,0,,,4,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
30,Nigar Sultana,Renuka Singh,Murshida Khatun,4,0,4,29,116,5,4,2,-,6.0,0,,,4,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Left hand Bat,Right arm Medium
31,Murshida Khatun,DB Sharma,Nigar Sultana,0,0,0,29,116,13,16,2,-,1.0,0,,,5,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Offbreak
32,Murshida Khatun,DB Sharma,Nigar Sultana,0,0,0,29,116,13,17,2,-,2.0,0,,,5,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Offbreak
33,Murshida Khatun,DB Sharma,Nigar Sultana,0,0,0,29,116,13,18,3,-,3.0,lbw,Murshida Khatun,,5,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Left hand Bat,Right hand Bat,Right arm Offbreak
34,Fahima Khatun,DB Sharma,Nigar Sultana,0,0,0,29,116,0,1,3,-,4.0,0,,,5,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
35,Fahima Khatun,DB Sharma,Nigar Sultana,1,0,1,30,115,1,2,3,-,5.0,0,,,5,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
36,Nigar Sultana,DB Sharma,Fahima Khatun,0,0,0,30,115,5,5,3,-,6.0,0,,,5,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
37,Fahima Khatun,P Vastrakar,Nigar Sultana,0,0,0,30,115,1,3,4,-,1.0,lbw,Fahima Khatun,,6,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
38,Shorna Akter,P Vastrakar,Nigar Sultana,0,0,0,30,115,0,1,4,-,2.0,0,,,6,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
39,Shorna Akter,P Vastrakar,Nigar Sultana,0,1,1,31,114,0,1,4,wides,2.0,0,,,6,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
40,Shorna Akter,P Vastrakar,Nigar Sultana,1,0,1,32,113,1,2,4,-,3.0,0,,,6,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
41,Nigar Sultana,P Vastrakar,Shorna Akter,2,0,2,34,111,7,6,4,-,4.0,0,,,6,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
42,Nigar Sultana,P Vastrakar,Shorna Akter,4,0,4,38,107,11,7,4,-,5.0,0,,,6,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
43,Nigar Sultana,P Vastrakar,Shorna Akter,0,0,0,38,107,11,8,4,-,6.0,0,,,6,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
44,Shorna Akter,RP Yadav,Nigar Sultana,0,0,0,38,107,1,3,4,-,1.0,0,,,7,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
45,Shorna Akter,RP Yadav,Nigar Sultana,1,0,1,39,106,2,4,4,-,2.0,0,,,7,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
46,Nigar Sultana,RP Yadav,Shorna Akter,0,0,0,39,106,11,9,4,-,3.0,0,,,7,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
47,Nigar Sultana,RP Yadav,Shorna Akter,0,0,0,39,106,11,10,4,-,4.0,0,,,7,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
48,Nigar Sultana,RP Yadav,Shorna Akter,1,0,1,40,105,12,11,4,-,5.0,0,,,7,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
49,Shorna Akter,RP Yadav,Nigar Sultana,0,0,0,40,105,2,5,4,-,6.0,0,,,7,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
50,Nigar Sultana,DB Sharma,Shorna Akter,1,0,1,41,104,13,12,4,-,1.0,0,,,8,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
51,Shorna Akter,DB Sharma,Nigar Sultana,0,0,0,41,104,2,6,4,-,2.0,0,,,8,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
52,Shorna Akter,DB Sharma,Nigar Sultana,0,0,0,41,104,2,7,4,-,3.0,0,,,8,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
53,Shorna Akter,DB Sharma,Nigar Sultana,0,0,0,41,104,2,8,4,-,4.0,0,,,8,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
54,Shorna Akter,DB Sharma,Nigar Sultana,1,0,1,42,103,3,9,4,-,5.0,0,,,8,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
55,Nigar Sultana,DB Sharma,Shorna Akter,1,0,1,43,102,14,13,4,-,6.0,0,,,8,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
56,Nigar Sultana,SR Patil,Shorna Akter,0,0,0,43,102,14,14,4,-,1.0,0,,,9,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
57,Nigar Sultana,SR Patil,Shorna Akter,0,0,0,43,102,14,15,4,-,2.0,0,,,9,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
58,Nigar Sultana,SR Patil,Shorna Akter,0,0,0,43,102,14,16,4,-,3.0,0,,,9,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
59,Nigar Sultana,SR Patil,Shorna Akter,0,0,0,43,102,14,17,4,-,4.0,0,,,9,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
60,Nigar Sultana,SR Patil,Shorna Akter,4,0,4,47,98,18,18,4,-,5.0,0,,,9,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
61,Nigar Sultana,SR Patil,Shorna Akter,0,0,0,47,98,18,19,4,-,6.0,0,,,9,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
62,Shorna Akter,RP Yadav,Nigar Sultana,1,0,1,48,97,4,10,4,-,1.0,0,,,10,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
63,Nigar Sultana,RP Yadav,Shorna Akter,1,0,1,49,96,19,20,4,-,2.0,0,,,10,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
64,Shorna Akter,RP Yadav,Nigar Sultana,1,0,1,50,95,5,11,4,-,3.0,0,,,10,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
65,Nigar Sultana,RP Yadav,Shorna Akter,0,0,0,50,95,19,21,4,-,4.0,0,,,10,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
66,Nigar Sultana,RP Yadav,Shorna Akter,0,0,0,50,95,19,22,4,-,5.0,0,,,10,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
67,Nigar Sultana,RP Yadav,Shorna Akter,2,0,2,52,93,21,23,4,-,6.0,0,,,10,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
68,Shorna Akter,P Vastrakar,Nigar Sultana,1,0,1,53,92,6,12,4,-,1.0,0,,,11,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
69,Nigar Sultana,P Vastrakar,Shorna Akter,1,0,1,54,91,22,24,4,-,2.0,0,,,11,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
70,Shorna Akter,P Vastrakar,Nigar Sultana,1,0,1,55,90,7,13,4,-,3.0,0,,,11,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
71,Nigar Sultana,P Vastrakar,Shorna Akter,0,0,0,55,90,22,25,4,-,4.0,0,,,11,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
72,Nigar Sultana,P Vastrakar,Shorna Akter,1,0,1,56,89,23,26,4,-,5.0,0,,,11,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
73,Shorna Akter,P Vastrakar,Nigar Sultana,2,0,2,58,87,9,14,4,-,6.0,0,,,11,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
74,Nigar Sultana,DB Sharma,Shorna Akter,1,0,1,59,86,24,27,4,-,1.0,0,,,12,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
75,Shorna Akter,DB Sharma,Nigar Sultana,1,0,1,60,85,10,15,4,-,2.0,0,,,12,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
76,Nigar Sultana,DB Sharma,Shorna Akter,1,0,1,61,84,25,28,4,-,3.0,0,,,12,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
77,Shorna Akter,DB Sharma,Nigar Sultana,0,0,0,61,84,10,16,4,-,4.0,0,,,12,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
78,Shorna Akter,DB Sharma,Nigar Sultana,1,0,1,62,83,11,17,4,-,5.0,0,,,12,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
79,Nigar Sultana,DB Sharma,Shorna Akter,0,0,0,62,83,25,29,4,-,6.0,0,,,12,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
80,Shorna Akter,RP Yadav,Nigar Sultana,0,0,0,62,83,11,18,5,-,1.0,caught,Shorna Akter,S Sajana,13,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
81,Rabeya Khan,RP Yadav,Nigar Sultana,1,0,1,63,82,1,1,5,-,2.0,0,,,13,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
82,Nigar Sultana,RP Yadav,Rabeya Khan,0,0,0,63,82,25,30,5,-,3.0,0,,,13,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
83,Nigar Sultana,RP Yadav,Rabeya Khan,2,0,2,65,80,27,31,5,-,4.0,0,,,13,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
84,Nigar Sultana,RP Yadav,Rabeya Khan,1,0,1,66,79,28,32,5,-,5.0,0,,,13,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
85,Rabeya Khan,RP Yadav,Nigar Sultana,0,0,0,66,79,1,2,5,-,6.0,0,,,13,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Left arm Orthodox
86,Nigar Sultana,SR Patil,Rabeya Khan,6,0,6,72,73,34,33,5,-,1.0,0,,,14,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
87,Nigar Sultana,SR Patil,Rabeya Khan,1,0,1,73,72,35,34,5,-,2.0,0,,,14,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
88,Rabeya Khan,SR Patil,Nigar Sultana,0,0,0,73,72,1,3,5,-,3.0,0,,,14,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
89,Rabeya Khan,SR Patil,Nigar Sultana,1,0,1,74,71,2,4,5,-,4.0,0,,,14,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
90,Nigar Sultana,SR Patil,Rabeya Khan,4,0,4,78,67,39,35,5,-,5.0,0,,,14,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
91,Nigar Sultana,SR Patil,Rabeya Khan,0,0,0,78,67,39,36,5,-,6.0,0,,,14,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
92,Rabeya Khan,Renuka Singh,Nigar Sultana,0,0,0,78,67,2,5,5,-,1.0,0,,,15,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
93,Rabeya Khan,Renuka Singh,Nigar Sultana,0,0,0,78,67,2,6,6,-,2.0,caught,Rabeya Khan,AB Kaur,15,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
94,Nahida Akter,Renuka Singh,Nigar Sultana,0,0,0,78,67,0,1,6,-,3.0,0,,,15,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
95,Nahida Akter,Renuka Singh,Nigar Sultana,1,0,1,79,66,1,2,6,-,4.0,0,,,15,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
96,Nigar Sultana,Renuka Singh,Nahida Akter,1,0,1,80,65,40,37,6,-,5.0,0,,,15,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
97,Nahida Akter,Renuka Singh,Nigar Sultana,0,0,0,80,65,1,3,6,-,6.0,0,,,15,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Medium
98,Nigar Sultana,DB Sharma,Nahida Akter,0,0,0,80,65,40,38,6,-,1.0,0,,,16,bat,India,2,Sylhet International Cricket Stadium,2024,04,India_Bangladesh_2024-04-28,India,Bangladesh,India,False,101,Right hand Bat,Right hand Bat,Right arm Offbreak
